TargetUserID,1stNNUserID,2NNUserID,3NNUserID,4NNUserID,5NNUserID,Book_ISBN,Predicted_Rating
21014,53174,270713,204864,236757,224349,553250426,4.3841
23872,214786,177432,229741,11676,245410,345342968,10
23872,214786,177432,229741,11676,245410,345361792,10
23872,214786,177432,229741,11676,245410,439064864,10
23872,214786,177432,229741,11676,245410,446606812,9.4286
23872,214786,177432,229741,11676,245410,068484477X,5.8
23902,135149,255489,165308,37712,136382,446310786,9.3651
23902,135149,255489,165308,37712,136382,345361792,7.2054
23902,135149,255489,165308,37712,136382,312924585,7.1429
23902,135149,255489,165308,37712,136382,345370775,7.1429
23902,135149,255489,165308,37712,136382,068484267X,7.1429
28634,274004,265115,7346,196077,70666,440221471,10
28634,274004,265115,7346,196077,70666,044023722X,9.6667
28634,274004,265115,7346,196077,70666,044651652X,9.6667
28634,274004,265115,7346,196077,70666,440220602,9.4667
28634,274004,265115,7346,196077,70666,316666343,9.2121
30735,6575,11676,274004,101851,75819,439064864,10
30735,6575,11676,274004,101851,75819,439139597,10
30735,6575,11676,274004,101851,75819,553280368,10
30735,6575,11676,274004,101851,75819,312195516,9.6364
30735,6575,11676,274004,101851,75819,553250426,9.6364
35857,105028,224349,162639,210485,70666,399501487,7.0417
35857,105028,224349,162639,210485,70666,375706771,6.4314
35857,105028,224349,162639,210485,70666,316601950,5.6667
35857,105028,224349,162639,210485,70666,743418174,5.6667
35857,105028,224349,162639,210485,70666,1558744150,5.6667
35859,113270,126492,170513,177432,200226,312195516,9.0667
35859,113270,126492,170513,177432,200226,316666343,9.0667
35859,113270,126492,170513,177432,200226,142001740,8.6667
35859,113270,126492,170513,177432,200226,385722206,8.6667
35859,113270,126492,170513,177432,200226,451156609,7.6175
37712,110934,236340,110912,210485,162639,142001740,8.5425
37712,110934,236340,110912,210485,162639,345370775,7.866
37712,110934,236340,110912,210485,162639,068484477X,7.5119
37712,110934,236340,110912,210485,162639,671027360,7.3016
37712,110934,236340,110912,210485,162639,067976402X,7.1895
37950,135149,93047,220688,204864,88693,439064872,6.8958
37950,135149,93047,220688,204864,88693,399501487,6.3333
37950,135149,93047,220688,204864,88693,446310786,6.3333
37950,135149,93047,220688,204864,88693,451167317,6.3333
37950,135149,93047,220688,204864,88693,553280341,6.3333
43246,7346,147847,150979,89602,170513,446605239,10
43246,7346,147847,150979,89602,170513,671001795,8.1818
43246,7346,147847,150979,89602,170513,067976402X,8.1818
43246,7346,147847,150979,89602,170513,312966970,7.951
43246,7346,147847,150979,89602,170513,375727345,6.8485
46398,105517,95359,271448,187256,204864,345370775,6.5602
46398,105517,95359,271448,187256,204864,345350499,6.375
46398,105517,95359,271448,187256,204864,375706771,6.375
46398,105517,95359,271448,187256,204864,452282152,6.375
46398,105517,95359,271448,187256,204864,068484267X,6.375
52584,113270,105979,170513,231210,140000,316666343,9.8988
52584,113270,105979,170513,231210,140000,743418174,8.8385
52584,113270,105979,170513,231210,140000,380018179,8.8333
52584,113270,105979,170513,231210,140000,804106304,8.8333
52584,113270,105979,170513,231210,140000,446606812,3.619
53174,21014,16795,274004,101851,75819,385504209,10
53174,21014,16795,274004,101851,75819,316601950,9.8
53174,21014,16795,274004,101851,75819,345313860,9.8
53174,21014,16795,274004,101851,75819,345350499,9.8
53174,21014,16795,274004,101851,75819,440206154,9.8
56447,6251,69389,73681,75819,88693,60928336,7.6667
56447,6251,69389,73681,75819,88693,316776963,7.6667
56447,6251,69389,73681,75819,88693,059035342X,7.6667
56447,6251,69389,73681,75819,88693,671041789,7.6667
56447,6251,69389,73681,75819,88693,842329129,7.6667
66942,187145,177432,35859,242083,11676,439139597,8.5937
66942,187145,177432,35859,242083,11676,440224675,8.5937
66942,187145,177432,35859,242083,11676,439136350,8.2222
66942,187145,177432,35859,242083,11676,804106304,7.5556
66942,187145,177432,35859,242083,11676,671041789,7.4887
68555,170513,227705,107784,28634,242083,440214041,8.4889
68555,170513,227705,107784,28634,242083,440221471,8.4889
68555,170513,227705,107784,28634,242083,312195516,7.8571
68555,170513,227705,107784,28634,242083,440224764,7.1983
68555,170513,227705,107784,28634,242083,014028009X,5.1905
69389,136382,258534,236340,104636,274004,671001795,9.013
69389,136382,258534,236340,104636,274004,312966970,8.7376
69389,136382,258534,236340,104636,274004,590353403,8.1429
69389,136382,258534,236340,104636,274004,553280368,8.013
69389,136382,258534,236340,104636,274004,446610038,7.7533
70666,210485,242083,224349,229741,102647,080410526X,9.5679
70666,210485,242083,224349,229741,102647,440211727,9.5171
70666,210485,242083,224349,229741,102647,440213525,8.4156
70666,210485,242083,224349,229741,102647,440234743,8.1429
70666,210485,242083,224349,229741,102647,446605239,8.1429
75819,227705,95359,274004,69389,88693,316769487,9.0
75819,227705,95359,274004,69389,88693,439139597,9.0
75819,227705,95359,274004,69389,88693,440234743,9.0
75819,227705,95359,274004,69389,88693,671041789,9.0
75819,227705,95359,274004,69389,88693,786868716,9.0
88693,210485,37950,110912,271448,220688,312278586,7.8958
88693,210485,37950,110912,271448,220688,452282152,7.8958
88693,210485,37950,110912,271448,220688,067976402X,7.3333
88693,210485,37950,110912,271448,220688,671003755,7.098
88693,210485,37950,110912,271448,220688,671027360,6.8571
88733,196077,204864,236757,37950,95932,345339681,8.75
88733,196077,204864,236757,37950,95932,439064872,8.75
88733,196077,204864,236757,37950,95932,439139597,8.75
88733,196077,204864,236757,37950,95932,446672211,8.75
88733,196077,204864,236757,37950,95932,059035342X,8.75
89602,165308,6575,13552,177432,187256,014028009X,8.3212
89602,165308,6575,13552,177432,187256,316666343,7.4667
89602,165308,6575,13552,177432,187256,316776963,6.8667
89602,165308,6575,13552,177432,187256,375726403,6.8667
89602,165308,6575,13552,177432,187256,380813815,6.8667
91113,210485,187256,255489,165308,11676,345361792,9.6204
91113,210485,187256,255489,165308,11676,345350499,8.6667
91113,210485,187256,255489,165308,11676,156027321,8.6667
91113,210485,187256,255489,165308,11676,375726403,8.0381
91113,210485,187256,255489,165308,11676,140298479,4.0381
93047,271448,37950,211426,11676,110934,440998050,9.3714
93047,271448,37950,211426,11676,110934,449212602,9.3714
93047,271448,37950,211426,11676,110934,439136369,8.3714
93047,271448,37950,211426,11676,110934,439139597,7.6397
93047,271448,37950,211426,11676,110934,553572997,6.1903
95359,6251,75819,177432,165308,148744,316096199,8.8148
95359,6251,75819,177432,165308,148744,345378490,8.8148
95359,6251,75819,177432,165308,148744,380718340,8.8148
95359,6251,75819,177432,165308,148744,375727345,7.2694
95359,6251,75819,177432,165308,148744,316769487,6.661
95932,88733,229741,11676,95359,70666,449212602,9.7714
95932,88733,229741,11676,95359,70666,440498058,8.3571
95932,88733,229741,11676,95359,70666,345313860,7.7714
95932,88733,229741,11676,95359,70666,380789035,7.4
95932,88733,229741,11676,95359,70666,380002930,4.7714
101851,236340,187145,7346,135149,105979,439064864,9.0
101851,236340,187145,7346,135149,105979,439136350,9.0
101851,236340,187145,7346,135149,105979,439139597,9.0
101851,236340,187145,7346,135149,105979,059035342X,9.0
101851,236340,187145,7346,135149,105979,804106304,8.9481
102647,70666,224349,164323,265115,104636,044021145X,8.8636
102647,70666,224349,164323,265115,104636,439136350,7.7273
102647,70666,224349,164323,265115,104636,043935806X,7.7273
102647,70666,224349,164323,265115,104636,440225701,6.964
102647,70666,224349,164323,265115,104636,044022165X,6.2908
104636,200226,241980,150979,148744,153662,312980140,9.2679
104636,200226,241980,150979,148744,153662,439064872,9.1964
104636,200226,241980,150979,148744,153662,439136369,9.1964
104636,200226,241980,150979,148744,153662,440213525,9.1964
104636,200226,241980,150979,148744,153662,014028009X,8.625
105028,210485,35857,153662,95359,70666,440211727,8.1964
105028,210485,35857,153662,95359,70666,059035342X,8.1964
105028,210485,35857,153662,95359,70666,312924585,7.625
105028,210485,35857,153662,95359,70666,440224764,7.625
105028,210485,35857,153662,95359,70666,451176464,7.625
105517,274004,46398,158433,164323,89602,439064872,6.4286
105517,274004,46398,158433,164323,89602,440498058,6.4286
105517,274004,46398,158433,164323,89602,080410526X,6.4286
105517,274004,46398,158433,164323,89602,1558744150,6.4286
105517,274004,46398,158433,164323,89602,385484518,3.0536
105979,73681,52584,270713,13552,164323,786868716,7.2929
105979,73681,52584,270713,13552,164323,316666343,7.1429
105979,73681,52584,270713,13552,164323,316601950,6.381
105979,73681,52584,270713,13552,164323,440214041,6.3286
105979,73681,52584,270713,13552,164323,312278586,6.2143
107784,158433,7346,255489,196077,68555,316096199,7.2308
107784,158433,7346,255489,196077,68555,044021145X,7.1178
