Overall_RMSE,1.814837
Total_Predictions,200

UserID,Book_ISBN,Actual_Rating,Predicted_Rating,Squared_Error
95359,316769487,8,9.0,1.0
95359,345378490,6,9.5,12.25
95359,375727345,7,9.0,4.0
95359,380718340,8,8.8148,0.6639
95932,345313860,8,8.0,0.0
95932,380002930,10,7.4,6.76
95932,380789035,7,7.4,0.16
95932,440498058,9,7.4,2.56
95932,449212602,10,8.0,4.0
101851,439064864,10,9.0,1.0
101851,439136350,10,9.0,1.0
101851,439139597,10,10,0
101851,059035342X,10,9.0,1.0
101851,804106304,10,9.0,1.0
102647,439136350,7,6.0,1.0
102647,043935806X,9,7.7273,1.6198
102647,044021145X,10,4.0,36.0
102647,044022165X,10,7.6667,5.4444
102647,440225701,8,8.0,0.0
104636,014028009X,6,9.0,9.0
104636,312980140,9,9.338,0.1142
104636,439064872,10,9.0,1.0
104636,439136369,10,9.0,1.0
104636,440213525,9,8.3333,0.4444
105028,312924585,8,7.625,0.1406
105028,440211727,8,7.625,0.1406
105028,440224764,7,8.0,1.0
105028,451176464,7,8.0,1.0
105028,059035342X,8,7.625,0.1406
105517,385484518,10,8.0,4.0
105517,439064872,8,6.0,4.0
105517,440498058,7,4.0,9.0
105517,080410526X,9,8.0,1.0
105517,1558744150,7,6.4286,0.3265
105979,312278586,8,6.2143,3.1888
105979,316601950,8,8.0,0.0
105979,316666343,8,5.0,9.0
105979,440213525,6,6.2143,0.0459
105979,440214041,5,5.0,0.0
105979,440234743,5,5.846,0.7157
105979,671003755,6,6.9881,0.9764
105979,786868716,7,6.2143,0.6173
107784,316096199,4,5.0,1.0
107784,044021145X,8,7.4615,0.2899
