UserID,Book_ISBN,Predicted_Rating
35859,380018179,10
35859,64407667,10
35859,014028009X,10
35859,316096199,10
35859,034538475X,10
35859,440998050,10
35859,014029628X,10
37712,345342968,10
37712,590353403,10
37712,553280341,10
37712,439136350,10
37712,399501487,10
37712,044021145X,10
37712,553250426,10
37712,671001795,10
37712,345370775,10
37712,60976845,10
37950,446310786,9.0
37950,059035342X,9.0
37950,60934417,9.0
37950,440224764,9.0
37950,380789035,9.0
37950,804106304,9.0
37950,156027321,9.0
37950,1400031354,8.0
37950,312983271,8.0
37950,345361792,8.0
43246,743418174,10
43246,316776963,10
43246,380002930,10
43246,971880107,10
43246,451156609,10
43246,014029628X,10
43246,440225701,10
43246,312966970,10
43246,446672211,9.5
43246,440226430,9.5
46398,385492081,10
46398,679781587,10
46398,345378490,10
46398,440206154,9.0
46398,080410526X,9.0
46398,345337662,9.0
46398,067976402X,9.0
46398,375726403,9.0
46398,312983867,9.0
46398,312195516,9.0
52584,044023722X,10
52584,1558744150,10
52584,316096199,10
52584,034538475X,10
52584,553250426,10
52584,385335482,10
52584,446610038,10
52584,440225701,10
52584,375726403,10
52584,345313860,10
53174,044023722X,10
53174,140067477,10
53174,743418174,10
53174,044022165X,10
53174,380813815,10
53174,312278586,10
53174,380018179,10
53174,375706771,10
53174,440206154,10
53174,553280341,10
56447,345342968,8.0
56447,044022165X,8.0
56447,385484518,8.0
56447,380813815,8.0
56447,64407667,8.0
56447,014028009X,8.0
56447,440221471,8.0
56447,590353403,8.0
56447,440211727,8.0
56447,439136350,8.0
66942,014028009X,10
66942,553280341,10
66942,044021145X,10
66942,1400034779,10
66942,671027360,10
66942,1400031354,10
66942,380002930,9.5
66942,60934417,9.4858
66942,385484518,9.0
66942,380813815,9.0
68555,380813815,10
68555,452282152,10
68555,068484477X,10
68555,451156609,10
68555,043935806X,10
68555,140298479,10
68555,439139597,10
68555,156027321,10
68555,449212602,10
68555,142001740,10
69389,61009059,9.0
69389,044021145X,9.0
69389,345339681,8.5045
69389,059035342X,8.5
69389,553280368,8.5
69389,312983271,8.5
69389,312924585,8.2
69389,140067477,8.1429
69389,440224675,8.1429
69389,743418174,8.1429
70666,446672211,10
70666,385492081,10
70666,068484477X,10
70666,440211727,10
70666,380002930,10
70666,971880107,10
70666,014029628X,10
70666,316666343,10
70666,440226430,10
70666,590353403,9.5
75819,044023722X,10
75819,345342968,10
75819,452282152,10
75819,068484477X,10
75819,440224764,10
75819,440998050,10
75819,451156609,10
75819,61009059,10
75819,140298479,10
75819,439139597,10
88693,044021145X,9.0
88693,1400034779,9.0
88693,60976845,9.0
88693,671003755,8.5
88693,385492081,8.5
88693,679781587,8.5
88693,553572997,8.3333
88693,140298479,8.3333
88693,446672211,8.0
88693,380813815,8.0
88733,140067477,10
88733,446310786,10
88733,044022165X,10
88733,059035342X,10
88733,60934417,10
88733,014028009X,10
88733,971880107,10
88733,380789035,10
88733,553572997,10
88733,399501487,10
89602,553280341,9.0
89602,439136350,9.0
89602,671001795,9.0
89602,316601950,9.0
89602,60928336,9.0
89602,446672211,8.0
89602,440234743,8.0
89602,375706771,8.0
89602,014028009X,8.0
89602,312980140,8.0
91113,140067477,9.0
91113,440224675,9.0
91113,1558744150,9.0
91113,316776963,9.0
91113,786868716,9.0
91113,312278586,9.0
91113,452282152,9.0
91113,059035342X,9.0
91113,375727345,9.0
91113,971880107,9.0
93047,059035342X,8.0
93047,067976402X,8.0
93047,1400034779,8.0
93047,345378490,8.0
93047,316769487,7.5
93047,440226430,7.0
93047,044023722X,7.0
93047,345342968,7.0
93047,671041789,7.0
93047,140067477,7.0
95359,440224675,10
95359,743418174,10
95359,316776963,10
95359,440234743,10
95359,553280341,10
95359,440224764,10
95359,971880107,10
95359,439064864,10
95359,345313860,10
95359,312983271,10
95932,140067477,8.0
95932,1558744150,8.0
95932,312278586,8.0
95932,380018179,8.0
95932,452282152,8.0
95932,60987103,8.0
95932,440211727,8.0
95932,043935806X,8.0
95932,380718340,8.0
95932,553250426,8.0
101851,044023722X,10
101851,345342968,10
101851,380813815,10
101851,452282152,10
101851,60987103,10
101851,014028009X,10
101851,080410526X,10
101851,440224764,10
101851,316769487,10
101851,553572997,10
102647,316096199,10
102647,068484267X,10
102647,385484518,9.5
102647,61009059,9.5
102647,345339681,9.5
102647,044651652X,9.3333
102647,312980140,9.0211
102647,451156609,9.0
102647,440224675,9.0
102647,316776963,9.0
104636,64407667,10
104636,440221471,10
104636,080410526X,10
104636,068484267X,10
104636,60976845,10
104636,345361792,10
104636,380813815,9.5
104636,679781587,9.5
104636,034538475X,9.5
104636,380002930,9.5
105028,440498058,9.0
105028,671027360,9.0
105028,446310786,8.5
105028,60934417,8.5
105028,60392452,8.3484
105028,345342968,8.0
105028,385484518,8.0
105028,380018179,8.0
105028,451176464,8.0
105028,553279912,8.0
105517,446672211,10
105517,60987103,10
105517,439064864,10
105517,345378490,10
105517,380789035,9.5
105517,451172817,9.5
105517,64407667,9.0
105517,385492081,9.0
105517,014029628X,9.0
105517,60976845,9.0
105979,440225701,9.0
105979,446605239,8.5
105979,842329129,8.2792
105979,380813815,8.0
105979,64407667,8.0
105979,679781587,8.0
105979,380789035,8.0
105979,671001795,8.0
105979,068484267X,8.0
105979,439064864,8.0
107784,316776963,10
107784,452282152,10
107784,60934417,10
107784,451156609,10
107784,439139597,10
107784,60976845,10
107784,142001740,10
107784,60938455,10
107784,440214041,9.5
107784,743418174,9.0
