TargetItem,SimilarItem,Similarity
067976402X,080410526X,0.3253
067976402X,440206154,0.3246
068484267X,044651652X,0.3358
068484267X,312924585,0.307
068484267X,316769487,0.3038
068484267X,044021145X,0.2725
068484267X,440206154,0.2335
068484267X,440224675,0.2333
068484267X,034538475X,0.2301
068484267X,345342968,0.2205
068484267X,971880107,0.2194
068484267X,044023722X,0.2052
068484477X,842329129,0.4261
068484477X,345342968,0.4177
068484477X,440226430,0.4081
068484477X,61009059,0.3874
068484477X,804106304,0.3836
068484477X,1558744150,0.3656
068484477X,64407667,0.3602
068484477X,671001795,0.349
068484477X,446610038,0.3301
068484477X,786868716,0.3222
080410526X,439064864,0.3987
080410526X,440211727,0.3342
080410526X,067976402X,0.3253
080410526X,1558744150,0.3249
080410526X,440498058,0.323
080410526X,553572997,0.3184
080410526X,059035342X,0.3184
080410526X,345337662,0.308
080410526X,449212602,0.2989
080410526X,345313860,0.2804
1400031354,1400034779,0.5403
1400031354,345361792,0.5006
1400031354,609804138,0.3771
1400031354,440226430,0.3698
1400031354,385722206,0.3697
1400031354,446610038,0.366
1400031354,449212602,0.3499
1400031354,316096199,0.3357
1400031354,385484518,0.3355
1400031354,786868716,0.3333
1400034779,1400031354,0.5403
1400034779,60392452,0.3857
1400034779,60938455,0.3457
1400034779,671027360,0.3361
1400034779,345339681,0.3201
1400034779,345361792,0.3159
1400034779,142001740,0.3059
1400034779,60976845,0.2861
1400034779,345370775,0.284
1400034779,553280368,0.2746
140067477,590353403,0.4519
140067477,440998050,0.3843
140067477,034538475X,0.3708
140067477,452282152,0.3278
140067477,312278586,0.3181
140067477,439064864,0.3173
140067477,971880107,0.3169
140067477,439139597,0.3149
140067477,043935806X,0.3051
140067477,380789035,0.3035
140298479,014028009X,0.4446
140298479,316776963,0.349
140298479,439136369,0.345
140298479,60938455,0.3223
140298479,312278586,0.3115
140298479,553279912,0.3019
140298479,380018179,0.2915
140298479,385335482,0.2748
140298479,140067477,0.2727
140298479,059035342X,0.248
142001740,385504209,0.3168
142001740,316601950,0.3102
142001740,1400034779,0.3059
142001740,609804138,0.286
142001740,316666343,0.2801
142001740,671027360,0.2756
142001740,1400031354,0.2743
142001740,375727345,0.2556
142001740,971880107,0.2409
142001740,014029628X,0.2342
1558744150,842329129,0.4412
1558744150,671001795,0.4314
1558744150,446610038,0.4044
1558744150,044651652X,0.398
1558744150,067976402X,0.3937
1558744150,553572997,0.3799
1558744150,439136369,0.3672
1558744150,068484477X,0.3656
1558744150,61009059,0.3524
1558744150,446672211,0.3461
156027321,380813815,0.5196
156027321,385722206,0.3659
156027321,440206154,0.3445
156027321,380789035,0.3391
156027321,451176464,0.33
156027321,375726403,0.3251
156027321,449212602,0.3242
156027321,345361792,0.3002
156027321,679781587,0.2925
156027321,067976402X,0.2888
312195516,60928336,0.5072
312195516,449212602,0.4175
312195516,375726403,0.3862
312195516,316666343,0.3838
312195516,452282152,0.3459
312195516,60976845,0.3414
312195516,014029628X,0.3364
312195516,446605239,0.3324
312195516,316769487,0.3158
312195516,671027360,0.3155
312278586,316776963,0.439
312278586,014028009X,0.3478
312278586,609804138,0.3389
312278586,61009059,0.337
312278586,059035342X,0.3233
312278586,60987103,0.319
312278586,60934417,0.3188
312278586,140067477,0.3181
312278586,380018179,0.316
312278586,140298479,0.3115
312924585,451167317,0.3974
312924585,440211727,0.3898
312924585,345370775,0.3606
312924585,440221471,0.3368
312924585,671041789,0.3137
312924585,068484267X,0.307
312924585,440234743,0.3002
312924585,440214041,0.2913
312924585,345337662,0.2846
312924585,345313860,0.2778
312966970,312976275,0.5612
312966970,312983867,0.5441
312966970,671001795,0.5246
312966970,312980140,0.4862
312966970,553280341,0.469
312966970,553279912,0.4517
312966970,385335482,0.3995
312966970,440234743,0.3588
312966970,553280368,0.3587
312966970,446610038,0.3302
312976275,312966970,0.5612
312976275,671001795,0.5386
312976275,312983867,0.5326
312976275,553279912,0.494
312976275,312980140,0.4684
312976275,553280341,0.3921
312976275,440234743,0.3159
312976275,446610038,0.3015
312976275,451172817,0.3012
312976275,380018179,0.2923
312980140,312983867,0.7028
312980140,671001795,0.4932
312980140,312966970,0.4862
312980140,312976275,0.4684
312980140,451172817,0.3389
312980140,312983271,0.2911
312980140,553280368,0.2841
312980140,014028009X,0.2775
312980140,60976845,0.2726
312980140,553279912,0.2638
312983271,440224764,0.426
312983271,671001795,0.3869
312983271,439136369,0.342
312983271,553280368,0.306
312983271,440226430,0.2995
312983271,312980140,0.2911
312983271,312976275,0.2744
312983271,316601950,0.2598
312983271,440211727,0.2583
312983271,61009059,0.2486
312983867,312980140,0.7028
312983867,312966970,0.5441
312983867,312976275,0.5326
312983867,671001795,0.483
312983867,451172817,0.4517
312983867,375706771,0.3718
312983867,805063897,0.2979
312983867,60938455,0.2875
312983867,440234743,0.2863
312983867,679781587,0.2722
316096199,609804138,0.4743
316096199,446610038,0.4366
316096199,440221471,0.3761
316096199,385335482,0.3463
316096199,1400031354,0.3357
316096199,380718340,0.3265
316096199,385484518,0.3261
316096199,440234743,0.3031
316096199,440998050,0.3021
316096199,375726403,0.2995
316601950,671027360,0.4787
316601950,609804138,0.4052
316601950,60976845,0.4029
316601950,440226430,0.3778
316601950,014029628X,0.3533
316601950,446672211,0.3426
316601950,345361792,0.337
316601950,60392452,0.3313
316601950,60934417,0.3209
316601950,446610038,0.3196
316666343,446672211,0.4714
316666343,312195516,0.3838
316666343,842329129,0.3629
316666343,440206154,0.3579
316666343,671027360,0.3557
316666343,044651652X,0.3363
316666343,671003755,0.3181
316666343,345361792,0.314
316666343,446605239,0.313
316666343,345370775,0.3095
316769487,64407667,0.4418
316769487,312195516,0.3158
316769487,1558744150,0.3088
316769487,068484267X,0.3038
316769487,60928336,0.2758
316769487,068484477X,0.2559
316769487,380789035,0.2553
316769487,446310786,0.2477
316769487,380018179,0.2455
316769487,449212602,0.2382
316776963,439136369,0.4652
316776963,312278586,0.439
316776963,059035342X,0.3575
316776963,385504209,0.3515
316776963,140298479,0.349
316776963,014028009X,0.3424
316776963,439064872,0.3338
316776963,345337662,0.2967
316776963,446672211,0.2895
316776963,043935806X,0.2876
345313860,034538475X,0.7231
345313860,345337662,0.5641
345313860,451156609,0.3267
345313860,067976402X,0.3195
345313860,609804138,0.3066
345313860,553572997,0.3064
345313860,553280368,0.2985
345313860,385335482,0.2897
345313860,080410526X,0.2804
345313860,312924585,0.2778
345337662,034538475X,0.6801
345337662,345313860,0.5641
345337662,439136350,0.4605
345337662,439064864,0.4441
345337662,553268880,0.3541
345337662,439139597,0.3472
345337662,64407667,0.3308
345337662,044021145X,0.3186
345337662,440214041,0.3153
345337662,590353403,0.3137
345339681,439136350,0.3382
345339681,1400034779,0.3201
345339681,044021145X,0.3147
345339681,439139597,0.3124
345339681,1400031354,0.2887
345339681,068484477X,0.2693
345339681,312983867,0.268
345339681,842329129,0.2676
345339681,679781587,0.2643
345339681,60987103,0.2603
345342968,068484477X,0.4177
345342968,553250426,0.342
345342968,059035342X,0.3368
345342968,1558744150,0.327
345342968,842329129,0.3169
345342968,61009059,0.3084
345342968,440213525,0.3065
345342968,451167317,0.2764
345342968,044021145X,0.2625
345342968,446310786,0.2558
345350499,380002930,0.4368
345350499,590353403,0.4022
345350499,439136350,0.3607
345350499,043935806X,0.3205
345350499,345337662,0.3046
345350499,805063897,0.2698
345350499,804106304,0.2619
345350499,034538475X,0.2584
345350499,786868716,0.2521
345350499,553268880,0.219
345361792,1400031354,0.5006
345361792,449212602,0.4758
345361792,385722206,0.4662
345361792,60976845,0.4458
345361792,671027360,0.4141
345361792,786868716,0.4092
345361792,439064864,0.3647
345361792,375726403,0.3491
345361792,316601950,0.337
345361792,609804138,0.3277
345370775,440221471,0.4242
345370775,345378490,0.4113
345370775,312924585,0.3606
345370775,440234743,0.3556
345370775,60392452,0.3368
345370775,440224675,0.3367
345370775,553268880,0.3319
345370775,553572997,0.3122
345370775,375726403,0.3113
345370775,609804138,0.311
345378490,451184963,0.4618
345378490,345370775,0.4113
345378490,440224675,0.377
345378490,440213525,0.3626
345378490,440225701,0.3592
345378490,440221471,0.3269
345378490,385504209,0.3154
345378490,044651652X,0.3117
345378490,451172817,0.308
345378490,439136369,0.3076
375706771,375727345,0.4133
375706771,312983867,0.3718
375706771,671003755,0.3068
375706771,679781587,0.2872
375706771,316096199,0.2817
375706771,451172817,0.2789
375706771,440226430,0.2686
375706771,399501487,0.266
375706771,971880107,0.2615
375706771,014028009X,0.2527
375726403,449212602,0.4293
375726403,440998050,0.3904
375726403,385722206,0.3866
375726403,312195516,0.3862
375726403,014029628X,0.3725
375726403,440498058,0.3636
375726403,553268880,0.3624
375726403,345361792,0.3491
375726403,609804138,0.3376
375726403,380813815,0.3334
375727345,380789035,0.4738
375727345,067976402X,0.4723
375727345,375706771,0.4133
375727345,61009059,0.3573
375727345,380813815,0.3569
375727345,014028009X,0.3116
375727345,439064872,0.3068
375727345,345361792,0.2942
375727345,345378490,0.2934
375727345,014029628X,0.2884
380002930,345350499,0.4368
380002930,553572997,0.4023
380002930,553250426,0.3836
380002930,786868716,0.3812
380002930,451184963,0.3198
380002930,345313860,0.2753
380002930,451176464,0.2697
380002930,345378490,0.2414
380002930,345342968,0.2389
380002930,553268880,0.2376
380018179,440225701,0.3218
380018179,312278586,0.316
380018179,345337662,0.2954
380018179,312976275,0.2923
380018179,140298479,0.2915
380018179,446310786,0.27
380018179,014028009X,0.2698
380018179,044021145X,0.2581
380018179,316776963,0.247
380018179,316769487,0.2455
380718340,446610038,0.5587
380718340,786868716,0.4185
380718340,385484518,0.4124
380718340,61009059,0.4005
380718340,671001795,0.3822
380718340,553280341,0.3692
380718340,044022165X,0.3669
380718340,446606812,0.3619
380718340,059035342X,0.3587
380718340,044651652X,0.3436
380789035,380813815,0.4768
380789035,375727345,0.4738
380789035,067976402X,0.3633
380789035,156027321,0.3391
380789035,140067477,0.3035
380789035,345361792,0.2867
380789035,375726403,0.2651
380789035,440206154,0.2649
380789035,449212602,0.2615
380789035,316769487,0.2553
380813815,156027321,0.5196
380813815,380789035,0.4768
380813815,067976402X,0.3933
380813815,440998050,0.3684
380813815,842329129,0.3641
380813815,375727345,0.3569
380813815,440498058,0.3513
380813815,375726403,0.3334
380813815,345361792,0.3173
380813815,671041789,0.3115
385335482,553280368,0.5432
385335482,553280341,0.4053
385335482,312966970,0.3995
385335482,446672211,0.358
385335482,316096199,0.3463
385335482,044023722X,0.3404
385335482,375726403,0.3179
385335482,1558744150,0.3169
385335482,044651652X,0.3133
385335482,1400031354,0.3085
