UserID,BookISBN,ModelCalculatedValue,PredictedRating,Rank
53174,316601950,9.76022229361186,9.76,2
53174,345313860,9.747965412954493,9.75,3
53174,385504209,9.69227483414958,9.69,4
53174,345350499,9.430072758589466,9.43,5
95932,380789035,7.701237260388895,7.7,1
95932,449212602,7.639815808995444,7.64,2
95932,440498058,7.520424252631041,7.52,3
95932,380002930,7.362376992816386,7.36,4
95932,345313860,7.340438736958436,7.34,5
104636,014028009X,9.239970252303078,9.24,1
104636,312980140,8.797302162312777,8.8,2
104636,439064872,8.638715706287037,8.64,3
104636,440213525,8.610366607841078,8.61,4
104636,439136369,8.464189722923143,8.46,5
46398,345370775,5.9675930578201415,5.97,1
46398,375706771,5.299372082771094,5.3,2
46398,452282152,4.886668757280926,4.89,3
46398,345350499,4.580741742657515,4.58,4
46398,068484267X,4.48100352770925,4.48,5
37950,451167317,6.567764277553987,6.57,1
37950,553280341,6.41433122447347,6.41,2
37950,446310786,6.346435874720592,6.35,3
37950,399501487,6.272298120802398,6.27,4
37950,439064872,6.085322693494135,6.09,5
23872,068484477X,9.572524854725783,9.57,1
23872,439064864,9.447202153104657,9.45,2
23872,345361792,9.37970264633668,9.38,3
23872,345342968,9.37635854173055,9.38,4
23872,446606812,5.0,5.0,5
105028,312924585,8.042109731256275,8.04,1
105028,440224764,7.979360933158367,7.98,2
105028,440211727,7.9429706658379295,7.94,3
105028,059035342X,7.762203146624687,7.76,4
105028,451176464,7.753695685214186,7.75,5
68555,312195516,8.61382755553672,8.61,1
68555,440221471,7.7410886050425525,7.74,2
68555,014028009X,7.662149142675457,7.66,3
68555,440224764,7.612613538846319,7.61,4
68555,440214041,7.330865194716438,7.33,5
37712,068484477X,8.946908288719264,8.95,1
37712,671027360,8.458094549973492,8.46,2
37712,345370775,7.849323889373158,7.85,3
37712,142001740,7.787628193063357,7.79,4
37712,067976402X,7.195707309741862,7.2,5
28634,440220602,9.937507764018667,9.94,1
28634,440221471,9.898020081257645,9.9,2
28634,316666343,9.818002771410987,9.82,3
28634,044651652X,9.728025960927027,9.73,4
28634,044023722X,9.355021612166505,9.36,5
101851,439064864,9.696355857687555,9.7,1
101851,439136350,9.467822854862424,9.47,2
101851,059035342X,9.436506583658131,9.44,3
101851,439139597,9.314737963438853,9.31,4
101851,804106304,9.029101676886633,9.03,5
102647,044022165X,8.410057331703788,8.41,1
102647,044021145X,8.28993904984079,8.29,2
102647,440225701,8.165636722877954,8.17,3
102647,043935806X,7.627567508971044,7.63,4
102647,439136350,7.337058819779016,7.34,5
23902,345361792,7.392313829169973,7.39,1
23902,446310786,7.290123823008342,7.29,2
23902,345370775,6.921304282289736,6.92,3
23902,312924585,6.269996022430232,6.27,4
23902,068484267X,5.950827755217806,5.95,5
52584,743418174,8.934601868645299,8.93,1
52584,446606812,8.633528055517163,8.63,2
52584,316666343,8.620060022837992,8.62,3
52584,380018179,8.428481088566498,8.43,4
52584,804106304,7.2609848917849975,7.26,5
91113,345350499,9.240197383604563,9.24,1
91113,140298479,8.772857182479813,8.77,2
91113,375726403,8.416711691509347,8.42,3
91113,345361792,8.360160204770807,8.36,4
91113,156027321,8.341966471011164,8.34,5
6251,439136350,9.628866695234704,9.63,1
6251,043935806X,9.362913950327348,9.36,2
6251,312980140,9.113391100040559,9.11,3
6251,385484518,8.676735982593824,8.68,4
6251,068484267X,7.6972190257316795,7.7,5
6251,440206154,7.4216031630458135,7.42,6
43246,446605239,8.812211851911245,8.81,1
43246,375727345,8.354436752648832,8.35,2
43246,671001795,8.031017369613194,8.03,3
43246,067976402X,7.969979220282797,7.97,4
43246,312966970,7.770172068496801,7.77,5
13552,440234743,8.838471566074748,8.84,1
13552,440221471,8.712158596895527,8.71,2
13552,385504209,8.697753256262352,8.7,3
13552,140298479,8.48121910255746,8.48,4
13552,440224764,8.41629169476031,8.42,5
88693,671003755,8.138063875115575,8.14,1
88693,671027360,8.018197969065257,8.02,2
88693,067976402X,7.477734155535931,7.48,3
88693,312278586,7.425569266589234,7.43,4
88693,452282152,7.267167235552044,7.27,5
93047,439139597,7.339487253680096,7.34,1
93047,553572997,7.101256370057626,7.1,2
93047,449212602,7.084695030180219,7.08,3
93047,440998050,6.959235206392294,6.96,4
93047,439136369,6.865955774994527,6.87,5
105979,312278586,7.130363175834972,7.13,1
105979,316601950,6.825269195726686,6.83,2
105979,316666343,6.79839378146533,6.8,3
105979,786868716,6.780807034542115,6.78,4
105979,671003755,6.63254399148757,6.63,5
105979,440214041,6.224671262003965,6.22,6
105979,440234743,5.912396929153786,5.91,7
105979,440213525,5.626420784321668,5.63,8
66942,439139597,8.417723612915383,8.42,1
66942,440224675,8.350739399232033,8.35,2
66942,439136350,8.32628258055677,8.33,3
66942,804106304,8.227168034341856,8.23,4
66942,671041789,8.170969177272438,8.17,5
56447,671041789,7.913573666592813,7.91,1
56447,059035342X,7.776614545838569,7.78,2
56447,316776963,7.671137033291514,7.67,3
56447,842329129,7.62958223668089,7.63,4
56447,60928336,7.537073481022485,7.54,5
